ID,Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url,Image_name,CP_value
1,中和保健路車庫1樓、住家辦公近捷運,29000,30,0,1,3,新北市,新北市中和區保健路,公寓,3房2廳1衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518c2292878842,,0
2,台中北區 櫻花道套房 近國軍醫院大潤發科博館,6500,5,0,2,1,台中市,台中市北區太原路一段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092681292837978,,0
3,A22機捷夜市學區奢華全新套房非仲介免服務費可租補,17800,13.78,31,11,1,桃園市,桃園市中壢區中央西路二段/中央貴族,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0439e9292721000,,0
4,近成大暨醫院、二中、台南醫院、台南公園、轉運站,5500,5,30,5,1,台南市,台南市北區公園北路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ca6fd292506107,,0
5,台中市精密機械園區-廠房出租(B1~5F),1680000,1972,0,5,0,台中市,台中市南屯區精科中一路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=056658292329239,,0
6,小巨蛋站/邊間店面/輕食 飲料 服飾皆可,120000,15.37,0,1,0,台北市,台北市松山區南京東路四段,電梯大廈,,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0a582c292296736,,0
7,"知名電梯華廈,頂級全新裝潢,近捷運亞東醫院站/科學",23000,18,0,6,1,新北市,新北市板橋區貴興路/誠都,電梯大廈,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ec92e292038432,,0
8,巨蛋捷運瑞豐商圈店面1+2樓(謝絕餐飲業),38000,40,43,2,0,高雄市,高雄市鼓山區華榮路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f9918292030127,,0
9,笛布斯專任~僑泰電梯視野二房台水電大陽台可開伙可寵,13000,27.24,30,10,2,台中市,台中市南區南和一街/德昌中華,電梯大廈,2房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=009e89291929012,,0
10,運河電梯套房(另有多間雅房跟美甲工作室),7500,5,0,3,1,台南市,台南市安平區華平路,別墅,1房1衛,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0ba21729177054c,,0
11,近六合夜市商圈.美麗島捷運站.高雄火車站,15000,15,50,1,0,高雄市,高雄市新興區民主橫路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b775229165354b,,0
12,板橋電梯高樓可租補✨近商圈和室雅居✨全新裝潢車+管,33000,12,0.4,24,1,新北市,新北市板橋區板城路/高妍植3水璟苑,電梯大廈,1房1廳1衛 - 1室1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0d686c29149217d,,0
13,中和民享街近環球購物、民享市場、捷運便利、可炊,9000,6,32,4,6,新北市,新北市中和區民享街,公寓,6房6衛,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=07cb3920796538e,,0
14,全新屋 屋主直租 三房二衛 平面車位 含機車,27000,44.13,0.5,2,3,新北市,新北市淡水區濱海路二段/佳昂新家,電梯大廈,3房2廳2衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e22b5283656442,,0
15,美麗堡電梯華廈,32000,58,25,13,4,新北市,新北市五股區西雲路/美麗堡,電梯大廈,4房2廳2衛 - 2陽台2廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03f9f3291370103,,0
16,臺南東區榮譽街雙人套房包網路第四台,5700,7.5,14.4,4,1,台南市,台南市東區榮譽街,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0bed5322474255e,,0
17,可租補｜大智國小｜火車站｜新時代百貨公司,26000,24.57,4,3,3,台中市,台中市東區大智路/寶睿新湛,電梯大廈,3房2廳2衛 - 2廚房,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=01373b29073074c,,0
18,❤️高詢問度❤️梧棲全新透天套房❤️含電梯,8000,5,1,4,1,台中市,台中市梧棲區港埠路一段,華廈,1房1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06cc60270953417,,0
19,民生萬吉2房2衛明亮樓寓,32000,31.28,8.1,7,2,台南市,台南市中西區民生路二段/民生萬吉,電梯大廈,2房2廳2衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b191a289778414,,0
20,中山路特區精裝輕豪宅平面大車位設備齊全,17000,12.6,1.1,5,1,台中市,台中市沙鹿區光明街/佳格心悅,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=08b7d8290900405,,0
21,板橋三民路透天店面 近板橋家樂福商圈,60000,54,35.4,2,0,新北市,新北市板橋區三民路二段,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e5306273540945,,0
22,獨立套房,4800,8,15.6,4,3,彰化縣,彰化縣秀水鄉彰水路二段,公寓,3房,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0252bc263928595,,0
23,科定A3商辦大樓鄰近A3捷運站新莊全新裝潢辦公室,184800,100,0,11,0,新北市,新北市新莊區福慧路,辦公,,,陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e27b5274283935,,0
24,A7 甲子園三房平車含管出租中,33000,38,2.1,16,3,桃園市,桃園市龜山區文化一路/竹城甲子園,電梯大廈,3房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00ec26290289073,,0
25,A7竹城甲子園 四房平車含管出租中,43000,51,2.1,13,4,桃園市,桃園市龜山區文化一路/A7地王竹城甲子園,電梯大廈,4房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ad80b290295675,,0
26,蔡Sir力推關連唯有三千坪三照廠,1000000,3000,0,0,0,台中市,台中市龍井區台西南路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05088d28381373f,,0
27,惠買房．惠賣房｜近車站超大三房平車景觀戶,23888,32.43,9.5,12,3,苗栗縣,苗栗縣竹南鎮三平路/東站雙城,電梯大廈,3房2廳2衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0520f1290140976,,0
28,關廟區保東一街廠房(租),120000,421.2,31.1,0,0,台南市,台南市關廟區保東一街,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=07752529094191d,,0
29,含管理費（自租）百達君品簡約渡假兩房,24000,24,3,15,2,高雄市,高雄市前鎮區籬仔內路/百達君品,電梯大廈,2房1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04789e218056217,,0
30,276坪廠房出租（二層）近廣豐新天地,207000,276,0.1,2,0,桃園市,桃園市桃園區國際路一段,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01bda0291265700,,0
31,御盟國際驛館 酒店式公寓,61500,56,2.3,15,2,高雄市,高雄市三民區九如一路,公寓,2房2廳2衛 - 2陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=053a4a225742420,,0
32,蔡Sir力推關連大路超挑高美三照低租金廠,58000,80,0.1,0,0,台中市,台中市梧棲區港埠路一段,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0137db291329583,,0
33,373坪廠辦合一可三照,240000,373.29,0.1,3,0,台中市,台中市大里區美村街,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0036f729115569b,,0
34,年前降價!行天宮站步行1分2房高樓✨小陳自租新裝潢,47800,23.48,47,10,2,台北市,台北市中山區松江路,電梯大廈,2房1廳1衛 - 1廚房,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=03c99a290014926,,0
35,正麗山學區-全新裝修山景公園美寓,38000,32,40,5,3,台北市,台北市內湖區港華街,公寓,3房2廳2衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=083dda29044355c,,0
36,❗️廠房出租❗️ 屏東市全新合法廠房-可廠登,43000,116.97,0,0,0,屏東縣,屏東縣屏東市大成路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518a4251565298,,0
37,長安東路一段(2樓店面),92000,36.54,44,2,0,台北市,台北市中山區長安東路一段/明道大廈,電梯大廈,,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0f6cb1291143079,,0
38,＊中科雲世紀＊二房二衛無限視野景觀好房,25500,22,9,14,2,台中市,台中市西屯區國安一路/太子雲世紀B區,電梯大廈,2房2廳2衛,,"有對外窗, 為邊間, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b6b0f292812011,,0
39,北區⛅電梯⛅可雙租補⛅陽台獨洗⛅子母車⛅,8999,10,0,3,1,台中市,台中市北區梅亭街,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=07feb329293488e,,0
40,電梯套房⛅可雙租補⛅陽台獨洗⛅子母車⛅流理臺⛅,12499,13,0,8,1,台中市,台中市東區練武路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b6f46292931070,,0
41,近勤益⛅陽台獨洗⛅可雙租補⛅可貓⛅子母車⛅乾溼分離,9600,10,0,4,1,台中市,台中市太平區坪林路,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0babc129293941b,,0
42,前2個月半價⛅陽台獨洗⛅可寵⛅流理臺⛅子母車,11999,10,0,2,1,台中市,台中市北區中清路一段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04bec6292945116,,0
43,北屯⛅可寵⛅陽台獨洗⛅子母車⛅電磁爐⛅飲水機,10499,12,0,2,1,台中市,台中市北屯區大連北街,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=059d3d292930550,,0
44,L3J84）近重慶國中【超值3房2衛】補助洽★可寵,33000,27,20,1,3,新北市,新北市中和區民德路,公寓,3房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a050729295040d,,0
45,經國家樂福現代美裝雙陽台景觀三房車,29900,47,0,13,3,桃園市,桃園市桃園區經國路/定泰經國翫,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0eb94d292950258,,0
46,龍井蛇麼都有✨可租補✨可短租✨機車位✨生活機能佳✨,3799,8,0,3,0,台中市,台中市龍井區新興路,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=077a5329294929d,,0
47,全新電梯套房❤️室內機車位❤️陽台獨洗曬❤️子母車,10999,11,0,3,1,台中市,台中市北區梅川東路三段,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0f7400292811401,,0
48,小資族一房一廳❤️可寵❤️陽台獨洗獨曬❤️,11999,13,0,6,1,台中市,台中市北屯區東山路一段,公寓,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0736bc29281143a,,0
49,電梯小資族套房❤️可租補❤️陽台獨洗獨曬❤️可貓咪,8599,9,0,4,1,台中市,台中市北區進化路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05dce829281142b,,0
50,全新大空間套房❤️可租補❤️陽台獨洗獨曬❤️子母車,12999,13,0,2,1,台中市,台中市西區美村路一段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a72a529281144a,,0
51,快樂小姐~潭子久樘臻悅全新三房大平車位,30000,25.4,0.1,9,3,台中市,台中市潭子區弘智二街/久樘臻悅,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=08c109292949242,,0
52,經貿園區一樓店面/適合診所/企業辦公室/個體工作室,32000,18.91,0,1,0,台中市,台中市西屯區經貿路二段,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=099e3d292946983,,0
53,E1B12）捷運小南門【電梯1房1廳】警衛★採光優,22500,17,20,8,1,台北市,台北市中正區延平南路,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01554b292946914,,0
54,L8A36）遠東世紀廣場【採光辦公】可營登★坪效優,37000,34,20,6,0,新北市,新北市中和區中正路,電梯大廈,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0d94a729294671e,,0
55,可租補⚡管理員⚡陽台獨洗曬⚡流理臺⚡子母車⚡台水電,11800,10,0,5,0,台中市,台中市北區漢口路四段/紐約廣場,電梯大廈,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=09f103292812111,,0
56,興安商圈⚡門前可停車⚡免整理⚡可營登⚡禁餐飲,26000,15,0,1,0,台中市,台中市北屯區崇德二路一段,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ad1ae292812348,,0
57,可租補⚡一房一廳⚡陽台獨洗曬⚡流理臺⚡寵物的家⚡,18500,15,0,3,0,台中市,台中市北區英才路,透天厝,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0bc4de292816039,,0
58,近中興大學✨整棟新蓋✨可雙租補✨陽台獨洗✨飲水機,10500,9,0,5,0,台中市,台中市南區南平路,電梯大廈,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=054123292841375,,0
59,限時減租金優惠✨可雙租補✨陽台獨洗✨可租機車位,12499,13,0,8,1,台中市,台中市東區練武路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=096861292943277,,0
60,文華天際✦近A7捷運站 高樓層景觀戶,25000,25,1,15,2,桃園市,桃園市龜山區華亞三路/文華天際,華廈,2房2廳1衛 - 1陽台1廚房,,"有對外窗, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04a6e4292941326,,0
61,小檜溪雙陽台景觀大兩房含車管,35000,45,0,8,2,桃園市,桃園市桃園區朝陽街/遠雄青溪,電梯大廈,2房2廳2衛 - 2陽台1廚房,,"有對外窗, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0f4c89292930639,,0
62,小檜溪雙陽台全新景觀美三房含管,36500,38,0,11,3,桃園市,桃園市桃園區日光路/合康檜邑,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"有對外窗, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=031294292900920,,0
63,豐原金蛇送福✨雙租補✨衛浴開窗✨生活機能佳✨採光佳,5999,10,0,3,0,台中市,台中市豐原區市政路,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0c82a8292939600,,0
64,澄清中科/超新屋/機車位/流理臺/租補短租,11500,12,0,3,0,台中市,台中市西屯區福安六街,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0756c5292851209,,0
65,興大/可租補/機車位.超新屋流理臺,8300,11.5,0,2,0,台中市,台中市南區忠明南路,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0da485292851059,,0
66,中山醫/超新屋/機車位/可租補,7800,11,0,3,0,台中市,台中市南區崇倫街,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d3312292851138,,0
67,雙租補❤️超新兩房❤️獨洗曬❤️附機車位❤️,16499,25,0,4,2,台中市,台中市西區向上南路一段,透天厝,2房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08b411292939396,,0
68,文心櫻花✨可租補✨小資族✨垃圾處理飲水機✨環境舒適,6999,12,0,1,1,台中市,台中市西屯區甘肅路一段,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=051eaa292939187,,0
69,仲介勿擾！可寵！工學綠園道 溫馨二房 隨時可搬入,19800,22,0,14,0,台中市,台中市南區工學路/長億城香榭區綠茵區,電梯大廈,開放式格局,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0cad2229283474b,,0
70,(租)後勁捷運站｜新2房車位｜含管,21000,31.91,0.4,6,2,高雄市,高雄市楠梓區加昌路,電梯大廈,2房2廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0328b129293822c,,0
71,L3J85）中和高中【超值3房2衛】可寵★全新裝潢,39800,27,20,2,3,新北市,新北市中和區連城路,公寓,3房2廳2衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01e9bf292936801,,0
72,小資大空間✨可雙租補✨馬上詢問✨有飲水機✨車站商圈,5999,12,0,5,1,台中市,台中市中區民族路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ad91a292841279,,0
73,稀有台水電✨管理員✨陽台獨洗✨大空間✨漢口商圈,7799,14,0,13,1,台中市,台中市北區漢口路四段,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=02ccd929282480e,,0
74,稀有台水電✨可租補✨陽台獨洗✨採光佳✨近車站一中街,7999,13,0,5,1,台中市,台中市東區自強街,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0ce72f292851168,,0
75,小資爬樓梯✨可租補✨多間選✨共洗曬衣✨中國醫,4999,10,0,5,1,台中市,台中市北區大德街,公寓,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=09e5c4292851614,,0
76,便宜超秒殺✨生活機能佳✨有子母車飲水機✨晚來就沒囉,3499,1001,0,6,1,台中市,台中市北區美德街,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=081983292851589,,0
77,超便宜二房✨台水電✨可租補✨家具全配✨近清水國中,13999,18,0,3,2,台中市,台中市清水區中清路九段/彰慶晏苑,電梯大廈,2房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=06f721292851338,,0
78,秒殺電梯✨管理員✨可寵物✨陽台獨洗✨兩年約有優惠,7799,12,0,2,1,台中市,台中市沙鹿區台灣大道七段,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=074b3e292841878,,0
79,精緻美屋✨可租補✨寵物友善✨獨洗烘衣✨有子母車,11999,13,0,4,1,台中市,台中市北區五常街,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0f270b292842092,,0
80,可租補雙人大床前庭花園電梯套房,6000,8,0,2,1,台中市,台中市沙鹿區東英路/致富讚,透天厝,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0bc24d292835173,,0
81,有樂事＾＾全配3房含淨水設備,18000,27,0,12,3,台中市,台中市梧棲區大勇路/益翔有樂仕,電梯大廈,3房2廳2衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0fb85f29288565f,,0
82,✅現時免仲/可租補5年內新屋平面車位飯店式管理,16000,26,0,8,3,台中市,台中市清水區港新三路/遠雄之星7,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"有對外窗, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05be00292904880,,0
83,可租補大陽台獨洗晒花園電梯套房,6500,9,0,1,1,台中市,台中市沙鹿區東英路,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=08ebbf292834838,,0
84,泉宇未來✨可租補✨傢俱齊全✨大面窗採光明亮✨可竉✨,22000,35,0,4,2,台中市,台中市西屯區中康二街,電梯大廈,2房2廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a0f3229293532a,,0
85,南區首選✨租屋補助✨陽台獨洗✨機車位✨流理台✨,8299,11,0,2,1,台中市,台中市南區忠明南路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=06ce0e292879081,,0
86,進科博館✨雙租補✨陽台獨洗✨乾溼分離✨流理台,10799,13,0,4,1,台中市,台中市北區健行路,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05c59a292879014,,0
87,租屋補助✨陽台獨洗✨流理台✨機車位✨子母車,7499,11,0,2,1,台中市,台中市北區中清路一段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05962b292879203,,0
88,可寵❤可租屋補助❤免費共用洗衣機❤跟我的思念厚厚一,5499,8,0,4,1,台中市,台中市北區精武路,透天厝,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0cdcb3292935288,,0
89,北區超秒殺✨近中國醫✨可租補✨獨洗脫烘✨可養貓狗,12499,14,0,3,1,台中市,台中市北區學士路,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06d65d29283757f,,0
90,全新超秒殺✨可雙租補✨陽台獨洗✨電梯透天✨衛浴開窗,8999,12,0,3,1,台中市,台中市北區梅亭街,華廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0454b4292837766,,0
91,北區超秒殺✨可雙租補✨情侶最愛✨小陽台獨洗✨可貓狗,7999,12,0,4,1,台中市,台中市北屯區松明街,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0ec205292837840,,0
92,超級大空間✨可雙租補✨採光佳✨健身套房✨超級甜甜價,5999,13,0,5,1,台中市,台中市中區民族路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=08f71229283765e,,0
93,南區超精選✨可雙租補✨有電梯✨可代收包裹✨騎樓停車,6499,12,0,4,1,台中市,台中市南區福新街,華廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0d0ab229283795b,,0
94,把永遠愛妳寫進詩的結尾❤可租屋補助❤舒適空間❤,5500,8,0,5,1,台中市,台中市大里區亞洲街,公寓,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0905d229293485f,,0
95,我的愛溢出就像雨水❤可寵❤陽台獨洗❤流理台❤,9999,13,0,3,1,台中市,台中市北屯區大連北街,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e33e1292934707,,0
