ID,Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url,Image_name,CP_value
96,那飽滿的稻穗❤陽台獨洗❤衛浴窗❤逢甲水湳❤,8999,13,0,2,1,台中市,台中市西屯區中平路,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=031cab29293447f,,0
97,大雅⛅四房兩廳三衛兩陽台⛅可租補⛅可戶籍⛅寵可談⛅,40000,68,3,4,4,台中市,台中市大雅區中山北路,透天厝,4房2廳3衛 - 2陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e28e229293430d,,0
98,把永遠愛妳寫進詩的結尾❤雙租屋補助❤陽台獨洗❤,8999,12,0,1,1,台中市,台中市西屯區光明路,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a13fa29293427d,,0
99,幸福就是你❤️可租補❤️可貓可狗❤️陽台獨洗,9999,13,0,1,0,台中市,台中市西屯區華夏巷西三弄,透天厝,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04d516292888050,,0
100,幸福就是你❤️大坪數套房❤️有電梯❤️陽台獨洗,10999,18,0,2,0,台中市,台中市北屯區昌平路二段,透天厝,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0489fa29283818a,,0
101,幸福就是你❤️可租補❤️便宜好租❤️陽台曬,4999,8,0,4,0,台中市,台中市大里區工業六路,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=09258d29288880a,,0
102,幸福就是你❤️小資首選❤️有電梯❤️共洗獨曬,5999,10,0,2,0,台中市,台中市北區崇德路一段,透天厝,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=097c14292838086,,0
103,幸福就是你❤️可雙租補❤️電梯可貓❤️陽台獨洗,7499,10.5,0,7,0,台中市,台中市北區崇德路一段,電梯大廈,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04acea292838333,,0
104,幸福就是你❤️可租補❤️可貓咪❤️陽台獨洗,6799,10,0,4,0,台中市,台中市西屯區西屯路二段,公寓,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=006259292886948,,0
105,電梯❤️租補❤️獨洗❤️乾濕分離❤️室內機車位,9499,10,0,5,1,台中市,台中市北屯區旱溪西路三段,透天厝,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0524d329293423f,,0
106,O0S79）重慶國小【景觀獨戶】警衛★獨洗★流理台,25000,14,20,11,1,新北市,新北市板橋區五權街,電梯大廈,1房1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=06a15a29293414b,,0
107,北屯好市多⛅兩房兩廳兩衛三陽台⛅可租補⛅捷運⛅總站,26000,33,2,7,2,台中市,台中市北屯區南興三路/昌祐又一湛,電梯大廈,2房2廳2衛 - 3陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0c649129293377f,,0
108,租補可寵電梯❤️兩房❤️陽台❤️開伙❤️台水台電,22000,25,0,4,2,台中市,台中市西屯區中康街,電梯大廈,2房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b7bc929293347c,,0
109,我的愛溢出就像雨水❤乾溼分離❤陽台獨洗❤雙租屋補助,13999,18,0,2,1,台中市,台中市西屯區光明路,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04ddc529293260e,,0
110,太平⛅四房兩廳三衛⛅可租補⛅台水電⛅雙平車⛅管理員,25000,32,3,4,4,台中市,台中市太平區長安十一街/珍藏家,透天厝,4房2廳3衛,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=007544292932324,,0
111,M0K17）永安市場站5分【超值租案】可補助★可寵,13800,6,0,4,1,新北市,新北市永和區中和路,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=017110292932278,,0
112,幸福了這個季節❤可租屋補助❤室內機車位❤陽台獨洗❤,7499,11,0,5,1,台中市,台中市西屯區河南東二街,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0797ca29293210b,,0
113,太平⛅三房兩廳兩衛兩陽台⛅可租補雙租補⛅近近近74,26000,42,2,5,3,台中市,台中市太平區環中東路四段/櫻花大櫻國3,電梯大廈,3房2廳2衛 - 2陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=02ac1529293191e,,0
114,久未放晴的天空❤雙租屋補助❤陽台獨洗❤室內機車位❤,12499,15,0,8,1,台中市,台中市東區練武路,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e1f4429293151d,,0
115,S9A35）中和高中【黃金店面】營登★車流大★餐飲,25000,7,20,1,0,新北市,新北市土城區金城路三段,公寓,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03d4a2292931485,,0
116,依舊留著妳的笑容❤電梯管理員❤陽台❤舒適空間❤,7499,10,0,3,1,台中市,台中市南區學府路,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=06e8c829293109b,,0
117,崇德⛅電梯大坪數商辦⛅三車位⛅北區北屯⛅200坪,100000,200,3,8,0,台中市,台中市北區崇德路一段,電梯大廈,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=03312829293082f,,0
118,蛇采飛揚✨高cp值舒適美套房✨可租補✨可貓咪✨採光,5799,10,0,1,0,台中市,台中市北屯區東山路二段中興巷,公寓,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ab3f4292890386,,0
119,超便宜二房✨傢俱全配✨最省台水電✨可租屋補✨採光佳,12999,25,0,3,2,台中市,台中市清水區中清路九段,電梯大廈,2房1廳 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b4be129290664b,,0
120,近弘光靜宜✨便宜又溫馨套房✨可租補✨生活機能佳✨,3199,1001,0,4,0,台中市,台中市沙鹿區晉文路,透天厝,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0bdae3292915133,,0
121,北區⛅可租補⛅可寵可貓可狗⛅陽台獨洗⛅太原近74,11999,12,1,2,1,台中市,台中市北區國強街,華廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b324029292979f,,0
122,一中北區⛅可租補⛅可談寵⛅陽台獨洗⛅採光超讚超秒殺,7999,10,0,6,1,台中市,台中市北區太平北街,華廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0347d5292928215,,0
123,可雙租補代收包裹可貓獨洗曬,7499,9,0,7,0,台中市,台中市北區崇德路一段,電梯大廈,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=01824a292835750,,0
124,可寵可小孩寶寶陽台獨洗流理台,10999,13,0,2,0,台中市,台中市東區力行路,透天厝,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a1bae292840093,,0
125,多間可選陽台獨洗曬乾濕分離全新完工,16999,17,0,4,0,台中市,台中市北屯區昌平東二路,電梯大廈,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0755a629283548f,,0
126,北屯超秒殺⛅台水電⛅可租補可戶籍⛅衛浴乾溼分離⛅,5499,10,2,4,1,台中市,台中市北屯區安順東三街,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=00998f292927802,,0
127,東區⛅電梯⛅可短租⛅陽台獨洗⛅建成⛅興大⛅中區,7999,10,2,4,1,台中市,台中市東區建成路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=02cd5f29292720f,,0
128,電梯租補❤️陽台洗❤️衛浴開窗❤️機車位❤️飲水機,8299,10,0,2,1,台中市,台中市南區忠明南路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0063e729290977b,,0
129,全新電梯❤️雙租補❤️陽台洗曬❤️管理員❤️近興大,13999,16,0,8,1,台中市,台中市南區學府路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=067fdf292906704,,0
130,全新整理系統櫃❤️飲水機❤️網美浴室❤️陽台洗曬,8999,12,0,4,1,台中市,台中市北區育強街,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=07b91229290386c,,0
131,電梯可寵✅租補✅木地板✅走路興大✅陽台獨洗✅飲水機,9999,10,0,2,1,台中市,台中市南區南門路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=01cb83292907212,,0
132,大空間可寵❤️陽台❤️獨洗烘❤️機車位❤️近火車站,13999,16,0,2,1,台中市,台中市潭子區潭子街三段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0d8fe1292907542,,0
133,北區⛅可租補⛅可報稅⛅大陽台獨洗⛅電梯近全新⛅,8999,10,1,1,1,台中市,台中市北區梅豐街,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b1726292926085,,0
134,北屯電梯⛅一房一廳⛅可租補⛅陽台獨洗⛅衛浴乾溼分離,18999,18,2,3,1,台中市,台中市北屯區昌平路一段,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=095ae529292559a,,0
135,幸福房仲日日好日恬靜築居三房,150000,52.5,2,8,3,台北市,台北市士林區德行東路/日日好日/璞園誠寬,電梯大廈,3房2廳2衛 - 1室1陽台1廚房,,"有對外窗, 有中庭, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e85dd292923744,,0
136,北區⛅陽台獨洗⛅大陽台⛅電梯⛅文心⛅中清⛅太原⛅,8499,10,2,7,1,台中市,台中市北區陜西路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e0368292923602,,0
137,皇家庭苑店辦✦可營登可報稅 適合辦公倉儲,18000,20,0,1,0,桃園市,桃園市桃園區富國路,透天厝,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=064bfd292897721,,0
138,Q2D70）捷運菜寮5分【超值2房1廳】補助★合租,15000,15,20,6,2,新北市,新北市三重區中正南路,公寓,2房1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05a0fd292923157,,0
139,L0O51）捷運秀朗橋3分【電梯租案】可寵★有車位,15000,13,20,12,1,新北市,新北市中和區景平路,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=025e3929292271d,,0
140,水湳⛅可租補⛅可貓⛅電梯⛅陽台獨洗⛅機車位⛅北屯⛅,15999,17,1,4,1,台中市,台中市北屯區同平巷,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0f56ef29292270e,,0
141,麻豆區最佳顯眼三角窗商業區,150000,97,0,0,0,台南市,台南市麻豆區興中路,透天厝,,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0a6d70292922024,,0
142,北區電梯⛅可租補⛅陽台獨洗⛅機車位⛅太原⛅秒殺的唷,9499,10,1,7,1,台中市,台中市北區國強街,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=04911e29292152a,,0
143,Q0F36）近捷運菜寮【大空間】新裝潢★獨立洗衣機,16500,10,20,2,1,新北市,新北市三重區大仁街,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0c3ec729292141d,,0
144,陽台獨洗❤都是浪漫讓時間會哭會痛❤可工作室❤,6999,12,0,3,1,台中市,台中市北區永興街,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=079ce2292921269,,0
145,O0S81）捷運江子翠2分【超值租案】獨洗★新裝潢,17500,6,20,3,1,新北市,新北市板橋區文化路二段,公寓,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05f8b929292124b,,0
146,不過都是浪漫的胡說❤陽台獨洗❤可租屋補助❤機車位,9499,13,0,6,1,台中市,台中市北屯區僑孝街,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05788929291952d,,0
147,北屯⛅這裡有浴缸ㄟ⛅陽台獨洗⛅全新⛅有電梯超秒殺歐,14999,16,1,2,1,台中市,台中市北屯區昌平路二段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=039aaa292919517,,0
148,Z0N52）捷運三和國中【超值3房2廳】陽台★傢俱,32000,36,20,5,3,新北市,新北市三重區力行路二段,公寓,3房2廳1衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01c15b292919452,,0
149,可租屋補助❤室內機車位❤陽台獨洗❤你想用玫瑰說什麼,8499,10,0,6,1,台中市,台中市北屯區僑孝街,電梯大廈,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0fa59429291943e,,0
150,水湳全新⛅可租補⛅陽台獨洗⛅衛浴開窗⛅電梯⛅北屯⛅,14999,15,1,4,1,台中市,台中市北屯區中清路二段,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=094165292919304,,0
151,中興大學✨全新裝潢✨可雙租補✨獨洗曬✨子母車,11999,10,0,8,1,台中市,台中市南區學府路,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0f3550292918590,,0
152,南屯⛅類一房一廳⛅獨洗曬⛅流理台⛅浴缸⛅大墩⛅,11999,13,2,5,1,台中市,台中市南屯區大墩一街,電梯大廈,1房1衛,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0df2af292918543,,0
153,中興大學✨可租補✨可寵✨陽台獨洗✨子母車✨飲水機,9999,10,0,2,1,台中市,台中市南區南平路,華廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0cf3c2292916833,,0
154,⭐近東海⭐電梯⭐共洗⭐可租補、報稅⭐子母車⭐飲水機,7599,10,0,1,1,台中市,台中市龍井區新興路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0e8788292852069,,0
155,近東海⭐電梯⭐可寵⭐可租補、報稅⭐子母車⭐陽台獨洗,5999,9,0,5,1,台中市,台中市龍井區新興路,電梯大廈,1房1衛,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0ee805292852091,,0
156,⭐近東海⭐可租補⭐獨洗曬⭐子母車⭐飲水機⭐機車位,7499,10,0,2,1,台中市,台中市龍井區新興路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0f6a2f292852115,,0
157,⭐近東海⭐可寵⭐可租補、報稅⭐子母車⭐投幣共洗,4799,7,0,5,1,台中市,台中市龍井區台灣大道五段,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=042edf292852182,,0
158,⭐近市政府⭐電梯⭐可租補、報稅⭐台水電⭐獨洗烘,18500,20,0,12,1,台中市,台中市西屯區弘孝路,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0f1a13292852210,,0
159,⭐近東海⭐可雙租補⭐子母車⭐一房一廳⭐附汽機車位,10999,14,0,3,1,台中市,台中市龍井區遠東街,透天厝,1房1廳1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=06d25f29285212d,,0
160,⭐近東海⭐可寵⭐獨洗曬⭐子母車⭐飲水機⭐雙人沙發,5499,8,0,3,1,台中市,台中市龍井區遊園南路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06dc6329285214b,,0
161,⭐近仁愛⭐可雙租補⭐流理台⭐子母車⭐陽台獨洗,8999,12,0,2,1,台中市,台中市大里區永興路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a4a14292852204,,0
162,近東海⭐電梯⭐可貓⭐可雙租補、報稅⭐子母車⭐飲水機,6099,9,0,1,1,台中市,台中市龍井區新興路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=07c861292852026,,0
163,⭐近東海⭐電梯⭐可租補⭐子母車⭐機車位⭐陽台獨洗,11000,13,0,3,1,台中市,台中市龍井區新興路,別墅,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0d3ed529285207b,,0
164,✨電梯美屋✨租屋補助✨陽台獨洗✨台水台電✨加賴約看,7999,15,0,5,1,台中市,台中市北區自強街,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b860429283821e,,0
165,✨類一房一廳✨陽台獨洗✨乾溼分離✨加賴約看✨,12499,15,0,2,1,台中市,台中市北區衛道路,透天厝,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0389e029284292d,,0
166,✨電梯新屋✨租屋補助✨陽台獨洗✨流理台✨加賴約看✨,13999,16,0,6,1,台中市,台中市北區育祥街,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0a48a7292838323,,0
167,✨可貓咪✨運動爬梯✨租屋補助✨陽台獨洗✨加賴約看✨,6799,12,0,5,1,台中市,台中市西屯區西屯路二段,公寓,1房1衛 - 1陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0c326229283840d,,0
168,獨立套房大陽台頂樓加蓋,16800,20,0,4,0,台北市,台北市文山區萬盛街,公寓,開放式格局,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0c8c6c29291309e,,0
169,二房一廳一陽台超便宜✨台水電✨租屋補助✨廚房✨電梯,14000,20,0,3,2,台中市,台中市清水區中清路九段/彰慶晏苑,電梯大廈,2房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=06bb7c29284283e,,0
170,電梯套房⭐小資⭐可租補⭐陽台獨洗⭐近火車站⭐子母車,8299,8,0,5,1,台中市,台中市東區練武路,電梯大廈,1房1衛 - 1陽台,,"有對外窗, 樓中樓",https://www.rakuya.com.tw/rent/rent_item?ehid=02ece429282221a,,0
171,台水電⛅可租補⛅陽台獨洗⛅近中科大⛅電梯套房秒殺,7999,10,0,5,1,台中市,台中市東區自強街,電梯大廈,1房1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=074573292835671,,0
172,先搶先贏⭐可寵⭐小資兩房⭐樓中樓⭐陽台獨洗⭐子母車,15499,15,0,1,2,台中市,台中市西屯區漢成街,別墅,2房1廳1衛 - 2陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0a1bda292851828,,0
173,整棟全新⭐台積電首選⭐陽台獨洗⭐機車位⭐子母車飲水,8999,10,0,3,1,台中市,台中市大雅區科雅路,電梯大廈,1房1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=041d8c29282420f,,0
174,中國醫⛅租補⛅可寵⛅獨洗窗曬⛅子母車飲水機⛅超秒殺,12499,13,0,3,1,台中市,台中市北區學士路,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0beef929283484c,,0
175,可寵❤可租屋補助❤獨立洗脫烘❤超美套房❤,12499,15,0,3,1,台中市,台中市北區學士路,透天厝,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0eb6e8292835008,,0
176,秒殺小資美套房❤獨立洗衣機❤可租屋補助❤流理台,4999,8,0,2,1,台中市,台中市東區七中路,透天厝,1房1廳1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=01fab329283487e,,0
177,太普美術海山景2+1平車,43000,47.71,1,21,2,高雄市,高雄市左營區崇實路/太普美術海,電梯大廈,2房2廳2衛 - 1室2陽台,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=069f8d292903850,,0
178,仁愛路套房出租,6000,5.7,0,5,6,台南市,台南市麻豆區仁愛路,透天厝,6房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0faafc29290332e,,0
179,高雄車站景觀陽台大套房⭐️可租補⭐️,12000,15.63,26,19,1,高雄市,高雄市三民區南台路/新樓中樓,電梯大廈,1房1廳1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=090c05292903189,,0
180,可雙租補✔️陽台獨洗✔️精美套房✔️衛浴開窗,11499,10,0,9,1,台中市,台中市西區公館路,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e9dd129284133b,,0
181,近安平國小百坪方正建地(臨路約12米),80000,147.92,0,0,0,台南市,台南市安平區金華ˇ段,住宅用地,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00453a292888687,,0
182,仁德太子300坪乙工廠房+辦公室(臨20米路),165000,280.55,39,3,0,台南市,台南市仁德區太子路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b2af4292881520,,0
183,仁德輕屋齡家具齊全3房平車(可以租補),25000,20.64,3,2,3,台南市,台南市仁德區德洋二街/鑫宥春風5,電梯大廈,3房2廳2衛 - 1廚房,,"有對外窗, 有中庭",https://www.rakuya.com.tw/rent/rent_item?ehid=08ddaa29283731b,,0
184,北屯東山廠房/58坪有腹地/活路可大車,80000,98,0,1,0,台中市,台中市北屯區軍福十六路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e2298292872040,,0
185,可租補♥️獨洗曬✨流理台✨子母車✨台電計費,12999,14,0,1,1,台中市,台中市北區大德街,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0dfc6c29281148c,,0
186,頭份尚順黃金店面,40000,30,0,1,0,苗栗縣,苗栗縣頭份市東民二街,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0fe369292852159,,0
187,頭份正市區精華店面出租,42000,30,0,1,0,苗栗縣,苗栗縣頭份市中華路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00582729285216a,,0
188,可租補中山醫⭐️超新電梯⭐️陽台獨洗有流理臺,8299,11,0,2,1,台中市,台中市南區忠明南路,電梯大廈,1房1衛 - 1陽台,,陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=03797f292852135,,0
189,近中國醫⭐️超級優惠⭐️木質地板⭐️小資首選,3499,9,0,6,1,台中市,台中市北區美德街,公寓,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0474ad29285208c,,0
190,可寵樓中樓2房⭐️超大空間有流理臺,15499,20,0,1,2,台中市,台中市西屯區漢成街,透天厝,2房1廳1衛 - 1陽台1廚房,,"有對外窗, 樓中樓, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=05776b29285200d,,0
